DOLLAR TREE136 CHESAPEAKE           VA 23320 116050
DOMINION RESOURCES238 RICHMOND             VA 23219 16200
DOVER392 DOWNERS GROVE        IL 60515 29000
DOW CHEMICAL62  MIDLAND              MI 48674 56000
DR PEPPER SNAPPLE GROUP416 PLANO                TX 75024 20000
DTE ENERGY272 DETROIT              MI 48226 10000
DUKE ENERGY121 CHARLOTTE            NC 28202 28798
DUPONT113 WILMINGTON           DE 19898 46000
EASTMAN CHEMICAL309 KINGSPORT            TN 37660 14000
EBAY310 SAN JOSE             CA 95125 12600
ECOLAB211 SAINT PAUL           MN 55102 47565
EDISON INTERNATIONAL235 ROSEMEAD             CA 91770 12390
ELI LILLY132 INDIANAPOLIS         IN 46285 41975
EMCOR GROUP360 NORWALK              CT 6851  31000
EMERSON ELECTRIC139 SAINT LOUIS          MO 63136 103500
ENERGY TRANSFER EQUITY79  DALLAS               TX 75225 30992
ENTERGY263 NEW ORLEANS          LA 70113 13513
ENTERPRISE PRODUCTS PARTNERS122 HOUSTON              TX 77002 6800
EOG RESOURCES356 HOUSTON              TX 77002 2650
ERIE INSURANCE GROUP382 ERIE                 PA 16530 4988
ESSENDANT487 DEERFIELD            IL 60015 6600
ESTEE LAUDER253 NEW YORK             NY 10153 46000
EVERSOURCE ENERGY358 SPRINGFIELD          MA 1104  7762
EXELON89  CHICAGO              IL 60603 34396
EXPEDIA317 BELLEVUE             WA 98004 20075
EXPEDITORS INTERNATIONAL OF WASHINGTON429 SEATTLE              WA 98104 16000
EXPRESS SCRIPTS HOLDING22  SAINT LOUIS          MO 63121 25600
EXXON MOBIL4   IRVING               TX 75039 72700
FACEBOOK98  MENLO PARK           CA 94025 17048
FANNIE MAE20  WASHINGTON           DC 20016 7000
FARMERS INSURANCE EXCHANGE222 LOS ANGELES          CA 90010 13309
FEDEX58  MEMPHIS              TN 38120 335767
FIDELITY NATIONAL FINANCIAL293 JACKSONVILLE         FL 32204 55219
FIDELITY NATIONAL INFORMATION SERVICES301 JACKSONVILLE         FL 32204 55000
FIFTH THIRD BANCORP389 CINCINNATI           OH 45263 17844
FIRST AMERICAN FINANCIAL464 SANTA ANA            CA 92707 19531
FIRST DATA242 ATLANTA              GA 30342 24000
FIRSTENERGY196 AKRON                OH 44308 15707
FISERV471 BROOKFIELD           WI 53405 23000
FLUOR149 IRVING               TX 75039 61551
FOOT LOCKER348 NEW YORK             NY 10120 32965
FORD MOTOR10  DEARBORN             MI 48126 201000
FRANKLIN RESOURCES405 SAN MATEO            CA 94403 9059
FREDDIE MAC39  MCLEAN               VA 22102 5982
FREEPORT-MCMORAN175 PHOENIX              AZ 85004 30000
FRONTIER COMMUNICATIONS313 NORWALK              CT 6851  28332
GAMESTOP321 GRAPEVINE            TX 76051 41750
GAP178 SAN FRANCISCO        CA 94105 135000
GENERAL DYNAMICS90  FALLS CHURCH         VA 22042 98800
GENERAL ELECTRIC13  FAIRFIELD            CT 6828  295000
GENERAL MILLS165 MINNEAPOLIS          MN 55426 39000
